;ticket_title;labels;priority;points;ticket_id;list_id;owner;list_name;team
148;Prerequisites - Ansible script identification des requetes actives;[{u'color': None, u'id': u'5bcd187103453c5308ca3c8b', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Database'}, {u'color': u'purple', u'id': u'5bc90376a724a908c08b213e', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'OPS'}];;;5bcd8c4f7818f5845e735eca;5bcce7a8e147573d18c54457;[5bbf0a92bdead05552cddcf0, 5bbf1bc2077d227007870298];In Progress;OPS
149;Labeling Devs - Writing a wiki for the support team;[{u'color': None, u'id': u'5bcd183fd884c8699366e715', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Labeling'}, {u'color': u'black', u'id': u'5bcce0efd8f4d227abff7a5a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Archi.'}];;;5bd08013e8228961b35f624a;5bcd1ac09408b66b4ddc82d9;[5bbf1f203d2443419be530c9];Done;Archi.
150;Labeling Devs - Remove unnecessary labeling scheduled task on the superviser;[{u'color': None, u'id': u'5bcd183fd884c8699366e715', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Labeling'}, {u'color': u'black', u'id': u'5bcce0efd8f4d227abff7a5a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Archi.'}];;;5bd080138a1b1c8a18a37def;5bcd1ac09408b66b4ddc82d9;[5bbf1f203d2443419be530c9];Done;Archi.
151;Labeling Devs - Synchronize Labels between Redis & Elastic search;[{u'color': None, u'id': u'5bcd183fd884c8699366e715', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Labeling'}, {u'color': u'black', u'id': u'5bcce0efd8f4d227abff7a5a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Archi.'}];;;5bd080138a1b1c8a18a37dc9;5bcd1ac09408b66b4ddc82d9;[5bbf1f203d2443419be530c9];Done;Archi.
152;V1 Media Type - FWL add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4e380945261ef7d79e;5bcd1ac09408b66b4ddc82d9;[5b9637a81b8bf6766e957210];Done;DPS
153;V1 Media Type - SMA add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4edaed5a33a0dfbc0a;5bcd1ac09408b66b4ddc82d9;[5b9637a81b8bf6766e957210];Done;DPS
154;V1 Media Type - GDX add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4dbb8fb84784c8119a;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
155;Analyze AppNexus - Analyze AppNexus Dev Labeling;[{u'color': None, u'id': u'5bcd183fd884c8699366e715', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Labeling'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4deb24c92a49536b96;5bcd1ac09408b66b4ddc82d9;[5b8cf2c5f8cda84582e08b75];Done;DPS
156;V1 Media Type - TDS add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4e63f98f4c59231656;5bcd1ac09408b66b4ddc82d9;[5b112203e6202c34415dcfde];Done;DPS
157;V1 Media Type - IMP add media_type dimension ETL;[{u'color': None, u'id': u'5bcd1805a00a2101cc95a15c', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'Data_Improvements'}, {u'color': u'orange', u'id': u'5bc90376a724a908c08b213a', u'idBoard': u'5bc90376dd9b1466d5255e22', u'name': u'DPS'}];;;5bcd8c4e577ef92b0d62a3e4;5bcd1ac09408b66b4ddc82d9;[5b9660ed32342874a47d0328];Done;DPS
